module_code,display_name,page_count
"FINANCE","Finance & Accounting","36"
"ENTERPRISE_ADMIN","Enterprise Admin","17"
"OPERATIONS","Operations","15"
"ADMIN","Admin Console","14"
"COMPLIANCE","Compliance & Legal","14"
"SUPER_ADMIN","Super Admin","12"
"COMMON","Common","11"
"PROCUREMENT","Procurement","9"
"QA","QA & Testing","8"
"SUBSCRIPTIONS","Subscriptions","7"
"PUBLIC","Public Pages","5"
"GOVERNANCE","Governance","4"
"INTERNAL","Internal Operations","4"
"SYSTEM","System Administration","4"
"ONBOARDING","Onboarding","4"
"HR","Human Resources","4"
"DASHBOARD","Dashboard","2"
"BILLING","Billing & Subscription","2"
"AUTH","Authentication","2"
"REPORTS","Reports","1"
